name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
homoarginine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:27747,CHEBI:24606,CHEBI:27747,CHEBI:24606,True,chebi_filter,50,1,3,4.8502,2.4714,2.3788,refmet_ranked_low,True,False
homocarnosine,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:28050,CHEBI:85981,CHEBI:28050,CHEBI:85981,True,chebi_filter,50,2,3,4.8666,2.4678,2.3988,refmet_ranked_low,False,True
homoserine,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:30653,CHEBI:15699,CHEBI:30653,CHEBI:15699,True,chebi_filter,50,3,2,3.351,2.4888,0.8622,refmet_ranked_low,False,True
iminodiacetate (IDA),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:24786,CHEBI:24785,CHEBI:24786,CHEBI:24785,True,chebi_filter,50,1,12,1.3846,0.6984,0.6862,refmet_ranked_low,True,False
indole-3-carboxylate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:24809,CHEBI:62448,CHEBI:24809,CHEBI:62448,True,chebi_filter,50,1,2,4.8907,2.4612,2.4295,refmet_ranked_low,True,False
indolebutyrate,MS1,parent/child or substring (generic vs specific),CHEBI:33070,CHEBI:35581,CHEBI:33070,CHEBI:35581,True,chebi_filter,50,7,,1.3569,,,refmet_absent,True,False
kynurenate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18344,CHEBI:58454,CHEBI:18344,CHEBI:58454,True,chebi_filter,50,1,4,4.8949,0.8551,4.0398,refmet_ranked_low,True,False
lanthionine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:25013,CHEBI:21347,CHEBI:25013,RM:0041410,True,chebi_filter,50,12,3,4.8822,3.3019,1.5802,refmet_ranked_low,False,True
laurylcarnitine (C12),CURATION,divergent (different compound),CHEBI:77086,CHEBI:192727,CHEBI:77086,CHEBI:192727,True,chebi_filter,50,1,,0.7489,,,refmet_absent,True,False
linoleate (18:2n6),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17351,CHEBI:30245,CHEBI:17351,CHEBI:30245,True,chebi_filter,50,1,,1.4793,,,refmet_absent,True,False
linolenic acid,MS2,multi-id (biomapper ambiguous set),CHEBI:25633,CHEBI:165492|CHEBI:27432,CHEBI:25633,CHEBI:27432,True,chebi_filter,50,2,,3.2002,,,refmet_absent,False,True
lysine,CURATION,multi-id (biomapper ambiguous set),CHEBI:25094,CHEBI:133538|CHEBI:18019|CHEBI:194466|CHEBI:53633|CHEBI:61488,CHEBI:25094,CHEBI:53633,True,chebi_filter,50,1,11,2.4824,0.8726,1.6098,refmet_ranked_low,False,True
lyxonate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:134538,CHEBI:145756,CHEBI:134538,CHEBI:145756,True,chebi_filter,50,1,5,4.8918,0.7183,4.1736,refmet_ranked_low,True,False
malate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:6650,CHEBI:30797,CHEBI:6650,CHEBI:30797,True,chebi_filter,50,11,,3.3545,,,refmet_absent,False,True
mandelate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:35825,CHEBI:25147,CHEBI:35825,CHEBI:25147,True,chebi_filter,50,1,40,4.8641,0.6363,4.2278,refmet_ranked_low,False,False
margarate (17:0),CURATION,divergent (different compound),CHEBI:32365,CHEBI:32366,CHEBI:32365,CHEBI:32366,True,chebi_filter,50,1,,1.5027,,,refmet_absent,True,False
menthol,MS1,multi-id (biomapper ambiguous set),CHEBI:15409,CHEBI:25187|CHEBI:76306,CHEBI:15409,CHEBI:25187,True,chebi_filter,50,1,3,2.4998,2.4857,0.014,refmet_ranked_low,True,False
myristoylcarnitine (C14),CURATION,divergent (different compound),CHEBI:84634,CHEBI:178069,CHEBI:84634,CHEBI:178069,True,chebi_filter,50,2,,1.2295,,,refmet_absent,True,False
naringenin,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:50202,CHEBI:17846,CHEBI:50202,CHEBI:17846,True,chebi_filter,50,1,5,2.4885,0.8703,1.6182,refmet_ranked_low,False,True
nonadecenoate (19:1),CURATION,parent/child or substring (generic vs specific),CHEBI:83051,CHEBI:84965,LM:FA01030362,RM:0161729,True,chebi_filter,50,1,16,1.3667,0.6796,0.6871,refmet_ranked_low,True,True
octadecanedioate (C18),MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:133086,CHEBI:133087,CHEBI:133086,CHEBI:133087,True,chebi_filter,50,1,39,1.4595,0.6831,0.7764,refmet_ranked_low,True,False
ornithine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18257,CHEBI:15729,CHEBI:18257,CHEBI:15729,True,chebi_filter,50,1,2,2.4891,2.4627,0.0264,refmet_ranked_low,False,True
phenylacetylglutamine,CURATION,parent/child or substring (generic vs specific),CHEBI:17884,CHEBI:25982,CHEBI:17884,CHEBI:25982,True,chebi_filter,50,1,3,4.8882,2.4832,2.405,refmet_ranked_low,True,False
