name,level,refmet_id,refmet_name,biomapper_id,biomapper_name,category
arabinose,CURATION,46983,aldehydo-D-arabinose,17535,L-arabinopyranose,divergent (different compound)
arachidonate (20:4n6),CURATION,15843,arachidonic acid,32395,arachidonate,same-molecule variant (stereo/charge/acid-anion)
argininate*,CURATION,90000,Argininic acid,32695,argininate,same-molecule variant (stereo/charge/acid-anion)
arginine,CURATION,29016,arginine,16467|31235,L-arginine | Arginine hydrochloride,multi-id (biomapper ambiguous set)
asparagine,CURATION,22653,asparagine,15724|17196|58048,trimethylamine N-oxide | L-asparagine | L-asparagine zwitterion,multi-id (biomapper ambiguous set)
aspartate,CURATION,22660,aspartic acid,17053,L-aspartic acid,same-molecule variant (stereo/charge/acid-anion)
bicine,MS2,39066,[bis(2-hydroxyethyl)ammonio]acetate,39065,bicine,divergent (different compound)
cholate,CURATION,16359,cholic acid,29747,cholate,same-molecule variant (stereo/charge/acid-anion)
citrate,MS2,30769,citric acid,50744,citrate salt,parent/child or substring (generic vs specific)
citrulline,CURATION,18211,citrulline,16349|57743,L-citrulline | L-citrulline zwitterion,multi-id (biomapper ambiguous set)
cyclo(pro-val),CURATION,69439,cyclo(L-Pro-L-Val),201644,Cyclo(D-Val-L-Pro),divergent (different compound)
cystathionine,MS1,17755,cystathionine,17482,L-cystathionine,same-molecule variant (stereo/charge/acid-anion)
deoxycholate,CURATION,28834,deoxycholic acid,23614,deoxycholate,same-molecule variant (stereo/charge/acid-anion)
deoxycholic acid 12-sulfate*,CURATION,233494,deoxycholic acid 12-sulfate,232726,deoxycholic acid sulfate,same-molecule variant (stereo/charge/acid-anion)
dihomo-linoleate (20:2n6),CURATION,73731,"(11Z,14Z)-icosadienoic acid",88670,Dihomo-linoleate (20:2n6),divergent (different compound)
dihydrobiopterin,MS1,43120,"(6R)-L-erythro-6,7-dihydrobiopterin",43029,"L-erythro-7,8-dihydrobiopterin",divergent (different compound)
dihydroferulate,MS2,86612,dihydroferulic acid,133751,dihydroferulate,same-molecule variant (stereo/charge/acid-anion)
dihydroxyphenylalanine (DOPA),MS1,49168,dopa,15765|192509|57504,L-dopa | foslevodopa | L-dopa zwitterion,multi-id (biomapper ambiguous set)
erucate (22:1n9),CURATION,28792,erucic acid,32393,erucate,same-molecule variant (stereo/charge/acid-anion)
eugenol sulfate,CURATION,133570,eugenol sulfate,133571,eugenol sulfate(1-),same-molecule variant (stereo/charge/acid-anion)
ferulate,MS2,17620,trans-ferulic acid,29749,trans-ferulate,same-molecule variant (stereo/charge/acid-anion)
gamma-aminobutyrate (GABA),MS2,16865,gamma-aminobutyric acid,30566,gamma-aminobutyrate,same-molecule variant (stereo/charge/acid-anion)
gamma-glutamylalanine,CURATION,50621,gamma-glutamylalanine,50619,gamma-Glu-Ala,divergent (different compound)
gluconate,MS2,33198,D-gluconic acid,24265,gluconate,same-molecule variant (stereo/charge/acid-anion)
glutamate,CURATION,18237,glutamic acid,16015|232425|64243|91250,L-glutamic acid | monosodium L-glutamate hydrate | monosodium L-glutamate | disodium L-glutamate,multi-id (biomapper ambiguous set)
glutamine,CURATION,28300,glutamine,18050|58359,L-glutamine | L-glutamine zwitterion,multi-id (biomapper ambiguous set)
glycerate,CURATION,33508,glyceric acid,33871,glycerate,same-molecule variant (stereo/charge/acid-anion)
glycerophosphoethanolamine,CURATION,16929,sn-glycero-3-phosphoethanolamine,36314,glycerophosphoethanolamine,parent/child or substring (generic vs specific)
glycerophosphoinositol*,CURATION,166490,sn-Glycero-3-phosphoinositol,35771,glycerophosphoinositol phosphate,divergent (different compound)
glycochenodeoxycholate,CURATION,36274,glycochenodeoxycholic acid,36252,glycochenodeoxycholate,same-molecule variant (stereo/charge/acid-anion)
glycocholate,CURATION,17687,glycocholic acid,29746,glycocholate,same-molecule variant (stereo/charge/acid-anion)
glycodeoxycholate,CURATION,27471,glycodeoxycholic acid,82982,glycodeoxycholate,same-molecule variant (stereo/charge/acid-anion)
guanidinoacetate,CURATION,16344,guanidinoacetic acid,131444,guanidinoacetate,same-molecule variant (stereo/charge/acid-anion)
"gulono-1,4-lactone",MS2,177057,D-(-)-Gulono-gamma-lactone,17587,"L-gulono-1,4-lactone",divergent (different compound)
heptanoate (7:0),CURATION,45571,heptanoic acid,179775,Heptyl heptanoate,parent/child or substring (generic vs specific)
